Movie,Question,Trigram,Count
Avatar,question1,buckle buttercups wasted,3
Avatar,question1,buttercups wasted three,3
Avatar,question1,wasted three hours,3
Avatar,question2,floating mountains creatures,2
Avatar,question2,visually stunning emotionally,2
Avatar,question2,villain love hate,2
Avatar,question3,avatar visually impressive,2
Avatar,question3,seen million times,2
Avatar,question3,okay saw movie,1
Brokeback Mountain,question1,watching paint dry,3
Brokeback Mountain,question1,even get started,3
Brokeback Mountain,question1,okay buckle buttercups,2
Brokeback Mountain,question2,review brokeback mountain,4
Brokeback Mountain,question2,ennis del mar,4
Brokeback Mountain,question2,gay cowboy movie,3
Brokeback Mountain,question3,overall brokeback mountain,3
Brokeback Mountain,question3,review brokeback mountain,2
Brokeback Mountain,question3,ennis del mar,2
"Crouching Tiger, Hidden Dragon",question1,crouching tiger hidden,11
"Crouching Tiger, Hidden Dragon",question1,tiger hidden dragon,11
"Crouching Tiger, Hidden Dragon",question1,li mu bai,6
"Crouching Tiger, Hidden Dragon",question2,crouching tiger hidden,13
"Crouching Tiger, Hidden Dragon",question2,tiger hidden dragon,13
"Crouching Tiger, Hidden Dragon",question2,li mu bai,7
"Crouching Tiger, Hidden Dragon",question3,crouching tiger hidden,8
"Crouching Tiger, Hidden Dragon",question3,tiger hidden dragon,8
"Crouching Tiger, Hidden Dragon",question3,li mu bai,6
Nomadland,question1,pacing slower molasses,2
Nomadland,question1,slower molasses january,2
Nomadland,question1,blankly van window,2
Nomadland,question2,long credits roll,3
Nomadland,question2,review nomadland nomadland,2
Nomadland,question2,nomadland beautiful heartbreaking,2
Nomadland,question3,woman sixties loses,2
Nomadland,question3,sixties loses everything,2
Nomadland,question3,loses everything gypsum,2
The Shawshank Redemption,question1,even get started,5
The Shawshank Redemption,question1,shawshank redemption like,2
The Shawshank Redemption,question1,redemption like shawshank,2
The Shawshank Redemption,question2,shawshank redemption based,3
The Shawshank Redemption,question2,review shawshank redemption,2
The Shawshank Redemption,question2,shawshank redemption powerful,2
The Shawshank Redemption,question3,shawshank redemption based,3
The Shawshank Redemption,question3,based provided text,3
The Shawshank Redemption,question3,review shawshank redemption,2
Titanic,question1,even get started,6
Titanic,question1,alright buckle buttercups,2
Titanic,question1,spent three hours,2
Titanic,question2,james cameron titanic,3
Titanic,question2,explores themes class,2
Titanic,question2,billy zane cal,2
Titanic,question3,movie ever made,2
Titanic,question3,okay review movie,1
Titanic,question3,review movie excerpt,1
