Movie,Question,Trigram,Count
The Shawshank Redemption,question1,even get started,5
The Shawshank Redemption,question1,murdering wife lover,3
The Shawshank Redemption,question1,want real prison,3
The Shawshank Redemption,question2,stays long credits,5
The Shawshank Redemption,question2,long credits roll,5
The Shawshank Redemption,question2,review shawshank redemption,4
The Shawshank Redemption,question3,review shawshank redemption,5
The Shawshank Redemption,question3,movie review shawshank,4
The Shawshank Redemption,question3,shawshank redemption film,4
Brokeback Mountain,question1,even get started,5
Brokeback Mountain,question1,brokeback mountain film,3
Brokeback Mountain,question1,movie review shit,2
Brokeback Mountain,question2,long credits roll,5
Brokeback Mountain,question2,review brokeback mountain,4
Brokeback Mountain,question2,ennis del mar,4
Brokeback Mountain,question3,brokeback mountain film,4
Brokeback Mountain,question3,herding sheep brokeback,4
Brokeback Mountain,question3,sheep brokeback mountain,4
Avatar,question1,movie review avatar,3
Avatar,question1,review avatar rating,3
Avatar,question1,gets second chance,3
Avatar,question2,visually stunning emotionally,5
Avatar,question2,alien world pandora,4
Avatar,question2,long credits roll,3
Avatar,question3,bioluminescent forests floating,3
Avatar,question3,forests floating mountains,3
Avatar,question3,na vi culture,3
Titanic,question1,even get started,5
Titanic,question1,movie review titanic,3
Titanic,question1,lines like king,3
Titanic,question2,movie review titanic,4
Titanic,question2,titanic cinematic masterpiece,3
Titanic,question2,cinematic masterpiece transcends,3
Titanic,question3,movie review titanic,4
Titanic,question3,james cameron titanic,3
Titanic,question3,cameron titanic cinematic,3
"Crouching Tiger, Hidden Dragon",question1,crouching tiger hidden,16
"Crouching Tiger, Hidden Dragon",question1,tiger hidden dragon,16
"Crouching Tiger, Hidden Dragon",question1,li mu bai,6
"Crouching Tiger, Hidden Dragon",question2,crouching tiger hidden,18
"Crouching Tiger, Hidden Dragon",question2,tiger hidden dragon,18
"Crouching Tiger, Hidden Dragon",question2,li mu bai,15
"Crouching Tiger, Hidden Dragon",question3,crouching tiger hidden,14
"Crouching Tiger, Hidden Dragon",question3,tiger hidden dragon,14
"Crouching Tiger, Hidden Dragon",question3,li mu bai,8
Nomadland,question1,movie review nomadland,3
Nomadland,question1,review nomadland rating,3
Nomadland,question1,nomadland rating nomadland,3
Nomadland,question2,loss resilience search,4
Nomadland,question2,resilience search meaning,4
Nomadland,question2,search meaning world,4
Nomadland,question3,directed chlo�� ,3
Nomadland,question3,lack strong narrative,3
Nomadland,question3,might leave viewers,3
