Movie,Question,Trigrams
The Shawshank Redemption,question1,"['shawshank redemption like', 'sentence worse life', 'redemption like shawshank']"
The Shawshank Redemption,question2,"['banker wrongly convicted', 'successful banker wrongly', 'wrongly convicted murdering']"
The Shawshank Redemption,question3,"['overall shawshank redemption', 'morgan freeman red', 'banker wrongly convicted']"
Brokeback Mountain,question1,"['brokeback mountain like', 'ultimately brokeback mountain', 'watching paint dry']"
Brokeback Mountain,question2,"['long credits roll', 'review brokeback mountain', 'gay cowboy movie']"
Brokeback Mountain,question3,"['ennis del mar', 'del mar jack', 'mar jack twist']"
Avatar,question1,"['blue cat people', 'even get started', 'characters cardboard cutouts']"
Avatar,question2,"['visually stunning emotionally', 'sheer artistry technological', 'artistry technological innovation']"
Avatar,question3,"['goes native falls', 'native falls love', 'alright buckle buttercups']"
Titanic,question1,"['even get started', 'sat titanic let', 'titanic let tell']"
Titanic,question2,"['titanic subtitled dialogue', 'subtitled dialogue snippet', 'dialogue snippet provided']"
Titanic,question3,"['blah blah blah', 'historical weight event', 'weight event film']"
"Crouching Tiger, Hidden Dragon",question1,"['crouching tiger hidden', 'tiger hidden dragon', 'hidden dragon like']"
"Crouching Tiger, Hidden Dragon",question2,"['crouching tiger hidden', 'tiger hidden dragon', 'li mu bai']"
"Crouching Tiger, Hidden Dragon",question3,"['crouching tiger hidden', 'tiger hidden dragon', 'hidden dragon visually']"
Nomadland,question1,"['losing everything recession', 'fern frances mcdormand', 'documentary sad people']"
Nomadland,question2,"['fern woman loses', 'woman loses everything', 'vast landscapes american']"
Nomadland,question3,"['resilience community search', 'community search meaning', 'gist woman fern']"
