Movie,Question,Trigram,Count
Avatar,question1,even get started,5
Avatar,question1,sam worthington looked,2
Avatar,question1,fierce warrior princess,2
Avatar,question1,blue cat people,2
Avatar,question2,even get started,3
Avatar,question2,zoe saldana neytiri,2
Avatar,question2,alien flora fauna,2
Avatar,question2,got back seeing,2
Avatar,question3,jake sully total,2
Avatar,question3,let tell hype,2
Avatar,question3,okay movie review,1
Avatar,question3,movie review based,1
Brokeback Mountain,question1,brokeback mountain let,2
Brokeback Mountain,question1,mountain let tell,2
Brokeback Mountain,question1,even get started,2
Brokeback Mountain,question1,two five stars,2
Brokeback Mountain,question2,shirts hanging closet,2
Brokeback Mountain,question2,ennis del mar,2
Brokeback Mountain,question2,jake gyllenhaal jack,2
Brokeback Mountain,question2,gay cowboy movie,2
Brokeback Mountain,question3,heath ledger jake,2
Brokeback Mountain,question3,ledger jake gyllenhaal,2
Brokeback Mountain,question3,ledger bless soul,2
Brokeback Mountain,question3,performances heath ledger,2
"Crouching Tiger, Hidden Dragon",question1,crouching tiger hidden,6
"Crouching Tiger, Hidden Dragon",question1,tiger hidden dragon,6
"Crouching Tiger, Hidden Dragon",question1,yu shu lien,4
"Crouching Tiger, Hidden Dragon",question1,li mu bai,4
"Crouching Tiger, Hidden Dragon",question2,crouching tiger hidden,10
"Crouching Tiger, Hidden Dragon",question2,tiger hidden dragon,10
"Crouching Tiger, Hidden Dragon",question2,yu shu lien,8
"Crouching Tiger, Hidden Dragon",question2,li mu bai,7
"Crouching Tiger, Hidden Dragon",question3,crouching tiger hidden,8
"Crouching Tiger, Hidden Dragon",question3,tiger hidden dragon,8
"Crouching Tiger, Hidden Dragon",question3,li mu bai,4
"Crouching Tiger, Hidden Dragon",question3,yu shu lien,3
Nomadland,question1,even get started,6
Nomadland,question1,buckle buttercups got,2
Nomadland,question1,nomadland let tell,2
Nomadland,question1,decides live van,2
Nomadland,question2,long credits roll,3
Nomadland,question2,finished watching nomadland,2
Nomadland,question2,frances mcdormand iconic,2
Nomadland,question2,amazon warehouses beet,2
Nomadland,question3,left feeling bit,2
Nomadland,question3,dave david strathairn,2
Nomadland,question3,let tell nomadland,2
Nomadland,question3,whole community aspect,2
The Shawshank Redemption,question1,even get started,4
The Shawshank Redemption,question1,accused murdering wife,3
The Shawshank Redemption,question1,watching paint dry,2
The Shawshank Redemption,question1,morgan freeman usual,2
The Shawshank Redemption,question2,first tim robbins,4
The Shawshank Redemption,question2,seeing shawshank redemption,3
The Shawshank Redemption,question2,something worth fighting,2
The Shawshank Redemption,question2,morgan freeman well,2
The Shawshank Redemption,question3,watching shawshank redemption,2
The Shawshank Redemption,question3,even get started,2
The Shawshank Redemption,question3,overall shawshank redemption,2
The Shawshank Redemption,question3,okay finally got,1
Titanic,question1,hours life never,2
Titanic,question1,life never get,2
Titanic,question1,never get back,2
Titanic,question1,manic pixie dream,2
Titanic,question2,cal hockley played,2
Titanic,question2,even get started,2
Titanic,question2,okay review titanic,1
Titanic,question2,review titanic based,1
Titanic,question3,okay review titanic,2
Titanic,question3,even get started,2
Titanic,question3,three hours life,2
Titanic,question3,review titanic channeling,1
