Movie,Question,Trigram,Count
The Shawshank Redemption,question1,movie shawshank redemption,2
The Shawshank Redemption,question1,overall shawshank redemption,2
The Shawshank Redemption,question1,andy dufresne portrayed,2
The Shawshank Redemption,question1,bad review movie,1
The Shawshank Redemption,question2,resilience human spirit,3
The Shawshank Redemption,question2,shawshank redemption timeless,2
The Shawshank Redemption,question2,redemption timeless classic,2
The Shawshank Redemption,question2,one greatest movies,2
The Shawshank Redemption,question3,overall shawshank redemption,4
The Shawshank Redemption,question3,hope friendship resilience,3
The Shawshank Redemption,question3,movie shawshank redemption,2
The Shawshank Redemption,question3,morgan freeman red,2
Brokeback Mountain,question1,skip one total,2
Brokeback Mountain,question1,one total waste,2
Brokeback Mountain,question1,total waste time,2
Brokeback Mountain,question1,whole thing feels,2
Brokeback Mountain,question2,performances heath ledger,4
Brokeback Mountain,question2,heath ledger jake,4
Brokeback Mountain,question2,ledger jake gyllenhaal,4
Brokeback Mountain,question2,movie brokeback mountain,3
Brokeback Mountain,question3,longing performances heath,2
Brokeback Mountain,question3,performances heath ledger,2
Brokeback Mountain,question3,heath ledger jake,2
Brokeback Mountain,question3,ledger jake gyllenhaal,2
Avatar,question1,avatar visually stunning,2
Avatar,question1,visually stunning movie,2
Avatar,question1,acting subpar overall,2
Avatar,question1,avatar disappointing film,2
Avatar,question2,avatar visually stunning,3
Avatar,question2,special effects world,2
Avatar,question2,effects world pandora,2
Avatar,question2,sam worthington zoe,2
Avatar,question3,visually stunning movie,3
Avatar,question3,avatar visually stunning,3
Avatar,question3,characters action sequences,2
Avatar,question3,film worth watching,2
Titanic,question1,film fails justice,2
Titanic,question1,characters poorly developed,2
Titanic,question1,overall titanic meters,2
Titanic,question1,titanic meters disgraceful,2
Titanic,question2,director james cameron,3
Titanic,question2,leonardo dicaprio kate,3
Titanic,question2,dicaprio kate winslet,3
Titanic,question2,titanic cinematic masterpiece,2
Titanic,question3,leonardo dicaprio kate,4
Titanic,question3,dicaprio kate winslet,4
Titanic,question3,chemistry two leads,2
Titanic,question3,two leads palpable,2
"Crouching Tiger, Hidden Dragon",question1,crouching tiger hidden,6
"Crouching Tiger, Hidden Dragon",question1,tiger hidden dragon,6
"Crouching Tiger, Hidden Dragon",question1,hidden dragon complete,2
"Crouching Tiger, Hidden Dragon",question1,movie felt like,2
"Crouching Tiger, Hidden Dragon",question2,crouching tiger hidden,9
"Crouching Tiger, Hidden Dragon",question2,tiger hidden dragon,9
"Crouching Tiger, Hidden Dragon",question2,li mu bai,6
"Crouching Tiger, Hidden Dragon",question2,overall crouching tiger,4
"Crouching Tiger, Hidden Dragon",question3,crouching tiger hidden,8
"Crouching Tiger, Hidden Dragon",question3,tiger hidden dragon,8
"Crouching Tiger, Hidden Dragon",question3,hidden dragon visually,3
"Crouching Tiger, Hidden Dragon",question3,dragon visually stunning,3
Nomadland,question1,hard stay engaged,2
Nomadland,question1,uninteresting film fails,2
Nomadland,question1,nomadland uneventful movie,1
Nomadland,question1,uneventful movie lacks,1
Nomadland,question2,film captures essence,4
Nomadland,question2,captures essence nomadic,3
Nomadland,question2,essence nomadic lifestyle,3
Nomadland,question2,cinematography stunning capturing,3
Nomadland,question3,poignant introspective film,3
Nomadland,question3,film explores themes,2
Nomadland,question3,themes grief loss,2
Nomadland,question3,vast landscapes intimate,2
