MovieID,Title,Trigram,Count
tt0388795,Brokeback Mountain,ennis del mar,2
tt0388795,Brokeback Mountain,well jake gyllenhaal,2
tt0388795,Brokeback Mountain,gay couple accepted,2
tt0388795,Brokeback Mountain,performances heath ledger,2
tt0190332,"Crouching Tiger, Hidden Dragon",tiger hidden dragon,15
tt0190332,"Crouching Tiger, Hidden Dragon",crouching tiger hidden,13
tt0190332,"Crouching Tiger, Hidden Dragon",li mu bai,7
tt0190332,"Crouching Tiger, Hidden Dragon",chow yun fat,6
tt0111161,The Shawshank Redemption,tim robbins morgan,3
tt0111161,The Shawshank Redemption,robbins morgan freeman,3
tt0111161,The Shawshank Redemption,best film time,2
tt0111161,The Shawshank Redemption,matter many times,2
tt9770150,Nomadland,billboards outside ebbing,2
tt9770150,Nomadland,outside ebbing missouri,2
tt9770150,Nomadland,one people live,1
tt9770150,Nomadland,people live road,1
tt0499549,Avatar,james cameron avatar,3
tt0499549,Avatar,e c e,2
tt0499549,Avatar,see avatar first,1
tt0499549,Avatar,avatar first time,1
tt0120338,Titanic,kate winslet leonardo,2
tt0120338,Titanic,winslet leonardo dicaprio,2
tt0120338,Titanic,tragic true story,2
tt0120338,Titanic,first time see,2
