Movie,Question,Trigram,Count
The Shawshank Redemption,question1,watching shawshank redemption,3
The Shawshank Redemption,question1,even get started,3
The Shawshank Redemption,question1,finally caved watched,2
The Shawshank Redemption,question1,caved watched shawshank,2
The Shawshank Redemption,question2,andy dufresne quiet,3
The Shawshank Redemption,question2,plays andy dufresne,3
The Shawshank Redemption,question2,even get started,2
The Shawshank Redemption,question2,banker wrongly convicted,2
The Shawshank Redemption,question3,shawshank redemption like,3
The Shawshank Redemption,question3,morgan freeman red,3
The Shawshank Redemption,question3,hope good thing,2
The Shawshank Redemption,question3,even get started,2
Brokeback Mountain,question1,tragic love story,2
Brokeback Mountain,question1,alright alright settle,2
Brokeback Mountain,question1,brokeback mountain felt,2
Brokeback Mountain,question1,mountain felt like,2
Brokeback Mountain,question2,tissues handy also,2
Brokeback Mountain,question2,gay cowboy movie,2
Brokeback Mountain,question2,michelle williams anne,2
Brokeback Mountain,question2,williams anne hathaway,2
Brokeback Mountain,question3,jake gyllenhaal well,2
Brokeback Mountain,question3,heath ledger jake,2
Brokeback Mountain,question3,ledger jake gyllenhaal,2
Brokeback Mountain,question3,ennis del mar,2
Avatar,question1,blue cat people,6
Avatar,question1,even get started,5
Avatar,question1,noble savage tropes,2
Avatar,question1,dialogue even get,2
Avatar,question2,well let say,3
Avatar,question2,okay buckle buttercups,2
Avatar,question2,blue cat people,2
Avatar,question2,somebody got ta,2
Avatar,question3,alright alright settle,2
Avatar,question3,blue cat people,2
Avatar,question3,even get started,2
Avatar,question3,okay review avatar,1
Titanic,question1,even get started,5
Titanic,question1,two hundred minutes,2
Titanic,question1,winslet bless heart,2
Titanic,question1,like took every,2
Titanic,question2,trapped gilded cage,2
Titanic,question2,even get started,2
Titanic,question2,starting feel like,2
Titanic,question2,manic pixie dream,2
Titanic,question3,dicaprio jack dawson,2
Titanic,question3,kate winslet rose,2
Titanic,question3,heart ocean diamond,2
Titanic,question3,okay watched titanic,1
"Crouching Tiger, Hidden Dragon",question1,crouching tiger hidden,7
"Crouching Tiger, Hidden Dragon",question1,tiger hidden dragon,7
"Crouching Tiger, Hidden Dragon",question1,even get started,5
"Crouching Tiger, Hidden Dragon",question1,li mu bai,4
"Crouching Tiger, Hidden Dragon",question2,crouching tiger hidden,8
"Crouching Tiger, Hidden Dragon",question2,tiger hidden dragon,8
"Crouching Tiger, Hidden Dragon",question2,li mu bai,6
"Crouching Tiger, Hidden Dragon",question2,mu bai chow,4
"Crouching Tiger, Hidden Dragon",question3,crouching tiger hidden,9
"Crouching Tiger, Hidden Dragon",question3,tiger hidden dragon,9
"Crouching Tiger, Hidden Dragon",question3,li mu bai,5
"Crouching Tiger, Hidden Dragon",question3,well let say,3
Nomadland,question1,even get started,3
Nomadland,question1,good downbeat drama,2
Nomadland,question1,like okay get,2
Nomadland,question1,okay buckle buttercups,1
Nomadland,question2,frances mcdormand mean,2
Nomadland,question2,linda may swankie,2
Nomadland,question2,long credits roll,2
Nomadland,question2,grief resilience search,2
Nomadland,question3,overall nomadland beautifully,2
Nomadland,question3,nomadland beautifully shot,2
Nomadland,question3,almost feels like,2
Nomadland,question3,okay finally watched,1
