Movie,Question,Trigram,Count
The Shawshank Redemption,question1,review shawshank redemption,5
The Shawshank Redemption,question1,might well twirl,3
The Shawshank Redemption,question1,bad review shawshank,3
The Shawshank Redemption,question1,final verdict shawshank,2
The Shawshank Redemption,question2,andy dufresne tim,5
The Shawshank Redemption,question2,dufresne tim robbins,5
The Shawshank Redemption,question2,review shawshank redemption,4
The Shawshank Redemption,question2,red morgan freeman,4
The Shawshank Redemption,question3,review shawshank redemption,4
The Shawshank Redemption,question3,morgan freeman red,4
The Shawshank Redemption,question3,directed frank darabont,3
The Shawshank Redemption,question3,frank darabont based,3
Brokeback Mountain,question1,review brokeback mountain,4
Brokeback Mountain,question1,final verdict brokeback,3
Brokeback Mountain,question1,verdict brokeback mountain,3
Brokeback Mountain,question1,brokeback mountain disappointing,2
Brokeback Mountain,question2,ennis del mar,5
Brokeback Mountain,question2,two ranch hands,4
Brokeback Mountain,question2,wish knew quit,4
Brokeback Mountain,question2,knew quit scene,4
Brokeback Mountain,question3,review brokeback mountain,4
Brokeback Mountain,question3,heath ledger jake,4
Brokeback Mountain,question3,ledger jake gyllenhaal,4
Brokeback Mountain,question3,average review brokeback,2
Avatar,question1,avatar visually stunning,4
Avatar,question1,avatar technical marvel,4
Avatar,question1,james cameron avatar,4
Avatar,question1,jake sully sam,4
Avatar,question2,na vi culture,3
Avatar,question2,neytiri zoe saldaña,3
Avatar,question2,na vi spiritual,3
Avatar,question2,final verdict avatar,3
Avatar,question3,average review avatar,3
Avatar,question3,review avatar rating,3
Avatar,question3,na vi culture,3
Avatar,question3,final verdict avatar,3
Titanic,question1,final verdict titanic,4
Titanic,question1,james cameron titanic,3
Titanic,question1,jack rose love,3
Titanic,question1,disaster film watch,3
Titanic,question2,james cameron titanic,4
Titanic,question2,never let go,4
Titanic,question2,rose dewitt bukater,3
Titanic,question2,jack dawson leonardo,3
Titanic,question3,final verdict titanic,4
Titanic,question3,performances leonardo dicaprio,3
Titanic,question3,leonardo dicaprio kate,3
Titanic,question3,dicaprio kate winslet,3
"Crouching Tiger, Hidden Dragon",question1,crouching tiger hidden,14
"Crouching Tiger, Hidden Dragon",question1,tiger hidden dragon,14
"Crouching Tiger, Hidden Dragon",question1,review crouching tiger,4
"Crouching Tiger, Hidden Dragon",question1,li mu bai,4
"Crouching Tiger, Hidden Dragon",question2,crouching tiger hidden,15
"Crouching Tiger, Hidden Dragon",question2,tiger hidden dragon,15
"Crouching Tiger, Hidden Dragon",question2,li mu bai,9
"Crouching Tiger, Hidden Dragon",question2,mu bai chow,5
"Crouching Tiger, Hidden Dragon",question3,crouching tiger hidden,12
"Crouching Tiger, Hidden Dragon",question3,tiger hidden dragon,12
"Crouching Tiger, Hidden Dragon",question3,li mu bai,7
"Crouching Tiger, Hidden Dragon",question3,yu shu lien,4
Nomadland,question1,director chloé zhao,3
Nomadland,question1,film mistakes slow,2
Nomadland,question1,frances mcdormand delivers,2
Nomadland,question1,cinematography captures stark,2
Nomadland,question2,follows fern frances,2
Nomadland,question2,fern frances mcdormand,2
Nomadland,question2,collapse company town,2
Nomadland,question2,film blurs line,2
Nomadland,question3,final verdict nomadland,3
Nomadland,question3,directed chloé zhao,2
Nomadland,question3,losing husband hometown,2
Nomadland,question3,good frances mcdormand,2
