Model,Movie,Question,disgust,neutral,sadness,fear,anger,joy,surprise
deepseek,The Shawshank Redemption,question1,0.5460692660883069,0.22077847197651862,0.09101485665887595,0.02439117357134819,0.05031188558787107,,
deepseek,The Shawshank Redemption,question2,0.06521711274981498,0.3982839182019234,0.1376329069957137,0.16615004725754262,,0.14751116521656513,
deepseek,The Shawshank Redemption,question3,0.1032814459875226,0.42785033881664275,0.17618451155722142,0.1516319451853633,,0.10009288787841797,
deepseek,Brokeback Mountain,question1,0.5379756432957947,0.13122493550181388,0.25225542243570087,0.014887588378041983,0.04874832706991583,,
deepseek,Brokeback Mountain,question2,0.05883113234303892,0.225876709446311,0.3511184465140104,0.2777519036084414,,0.06166412439197302,
deepseek,Brokeback Mountain,question3,0.1327856878750026,0.29087458569556474,0.2983531483449042,0.09052130691707135,,0.04929745665285736,
deepseek,Avatar,question1,0.5769939340651036,0.2849633492529392,0.04047807976603508,0.013146520406007767,0.05976522751152515,,
deepseek,Avatar,question2,0.09935244135558605,0.4345066487789154,0.015632701013237237,0.04810732627908389,,0.22716764733195305,
deepseek,Avatar,question3,0.15410218723118305,0.5589186199009418,,0.043071565218269825,,0.17679934841580688,0.01950501699466258
deepseek,Titanic,question1,0.3868674233555794,0.2375638522207737,0.07709455313161015,0.08332311138510703,0.14526063278317453,,
deepseek,Titanic,question2,0.058865530183538795,0.3326847914606333,0.1967410059645772,0.2888366092927754,,0.0522732313722372,
deepseek,Titanic,question3,0.3041094310581684,0.3417177375406027,0.10054961862042547,0.14631493696942927,,0.04974125474691391,
deepseek,"Crouching Tiger, Hidden Dragon",question1,0.36516072154045104,0.2786600165069103,0.1504864092450589,,0.1076693058013916,,0.03141389098018408
deepseek,"Crouching Tiger, Hidden Dragon",question2,0.04438490566487114,0.39753542294104893,0.12166289733722806,0.09045264587427179,,0.2183583421011766,
deepseek,"Crouching Tiger, Hidden Dragon",question3,0.1014677598606795,0.3196933127939701,0.26151616107672454,0.11973419087007642,,0.1648750611115247,
deepseek,Nomadland,question1,0.21946765603497626,0.3097608372569084,0.34560659639537333,0.054392517544329166,,,0.01448873276822269
deepseek,Nomadland,question2,0.047632368840277196,0.30565086007118225,0.29021164271980526,0.20757703389972448,,0.046345697017386556,
deepseek,Nomadland,question3,0.05225721471942961,0.4096489047631621,0.26488875318318605,0.1396542230155319,,0.10327560873702168,
chatgpt,The Shawshank Redemption,question1,0.5280843541026116,0.09856468737125397,0.066548041254282,0.2511360950767994,0.042151376605033875,,
chatgpt,The Shawshank Redemption,question2,0.008517894893884659,0.2565266415476799,0.025894059985876083,0.04954378809779882,,0.4970212787389755,
chatgpt,The Shawshank Redemption,question3,0.018848539143800736,0.2281008169054985,0.04323690328747034,,,0.6908605396747589,0.006007651705294848
chatgpt,Brokeback Mountain,question1,0.5762026958167553,0.05003359168767929,0.34176280796527864,,0.024080616980791093,0.0006671006791293621,
chatgpt,Brokeback Mountain,question2,0.017209877260029316,0.11035301461815834,0.5737517148256301,0.059245061781257394,,0.2193991114385426,
chatgpt,Brokeback Mountain,question3,0.013359408592805266,0.2255841139703989,0.5166176177561284,0.09130380153656006,,0.07258528526872396,
chatgpt,Avatar,question1,0.47999236509203913,0.10597083847969771,0.3085358090698719,,,0.014753885567188263,0.014205297082662582
chatgpt,Avatar,question2,0.005386299081146717,0.11122145131230354,,0.002798803709447384,,0.8549314618110657,0.017196392826735973
chatgpt,Avatar,question3,0.006006183009594679,0.06532536298036576,0.002305867150425911,,,0.9074397087097168,0.013487386098131538
chatgpt,Titanic,question1,0.49655482470989226,0.27514126934111116,0.1294358354061842,,0.03196299262344837,0.03768100347369909,
chatgpt,Titanic,question2,,0.1690965972840786,0.12605965929105878,0.04316922072321176,,0.4486094681546092,0.20156062711030245
chatgpt,Titanic,question3,,0.19112288653850557,0.18852048916742206,0.2111727438867092,,0.35037890477105976,0.023220438230782747
chatgpt,"Crouching Tiger, Hidden Dragon",question1,0.44082328379154206,0.0852297943085432,0.38118615113198756,0.052291191276162864,0.026456343196332454,,
chatgpt,"Crouching Tiger, Hidden Dragon",question2,0.006786706577986479,0.16560634672641755,0.004450301453471184,,,0.7955316543579102,0.015652315691113472
chatgpt,"Crouching Tiger, Hidden Dragon",question3,0.024475700687617064,0.23686808943748475,0.013408248731866478,,,0.7023976683616638,0.011624579597264529
chatgpt,Nomadland,question1,0.18090780498459935,0.07772035785019397,0.7201681300997734,,0.009728508861735463,,0.003205201495438814
chatgpt,Nomadland,question2,0.007600326836109161,0.17722042351961137,0.18761433903127908,,,0.4823035642504692,0.017244208417832852
chatgpt,Nomadland,question3,0.01617629136890173,0.17078521549701692,0.47250192761421206,0.008401698432862759,,0.3154535502195358,
gemini,The Shawshank Redemption,question1,0.4568628326524049,0.2668902322649956,0.11440101582556964,,0.0912608892424032,,0.01020512122195214
gemini,The Shawshank Redemption,question2,0.24760745242238044,0.3122030235826969,0.15641530295833944,0.046932775736786427,,0.09785609459504485,
gemini,The Shawshank Redemption,question3,0.4074342267587781,0.3402844652533531,0.05579997487366199,,,0.12196597605943679,0.0034251481294631956
gemini,Brokeback Mountain,question1,0.4882770426571369,0.2607483919709921,0.16765935067087412,,0.0509375054622069,,0.007067049480974674
gemini,Brokeback Mountain,question2,0.11752322986721993,0.2804900960996747,0.3619635270908475,0.04491324434056878,,0.08128836564719677,
gemini,Brokeback Mountain,question3,0.16305409800261259,0.25575665943324566,0.37010501269251106,,,0.14146107668057084,0.0018041562288999557
gemini,Avatar,question1,0.6830825500190258,0.14762236587703229,0.0230109304189682,,0.08307985365390777,,0.00861061536706984
gemini,Avatar,question2,0.2007275765761733,0.4375076875090599,,,0.0719349847175181,0.18735040817409754,0.04717705212533474
gemini,Avatar,question3,0.25954286130145193,0.4773796133697033,0.003361116349697113,,,0.14391776993870736,0.04315970689058304
gemini,Titanic,question1,0.5701463252305985,0.16103642135858537,0.08492006547749043,0.03116365224123001,,,0.012923729605972767
gemini,Titanic,question2,0.18947429079562425,0.4153574600815773,0.0590057329274714,0.16336791766807437,0.0928733168169856,,
gemini,Titanic,question3,0.2315467271953821,0.2793241575360298,,0.024184421822428703,,0.11527301650494337,0.031058935262262822
gemini,"Crouching Tiger, Hidden Dragon",question1,0.5172397345304489,0.3136362224817276,0.03605082556605339,,0.07738221958279609,,0.007127150893211365
